지역,공용관리비용
강남구,1374.4663265306124
강동구,1054.0873333333334
강북구,1059.1253333333332
강서구,1000.8071666666667
관악구,931.4278333333333
광진구,1327.8713333333333
구로구,969.663
금천구,949.6015
노원구,1159.2823333333333
도봉구,1064.267
동대문구,1008.9968333333333
동작구,1133.2378333333334
마포구,1186.2645
서대문구,1115.9550000000002
서울시 전체,1156.362
서초구,1350.5557627118642
성동구,1135.9356666666667
성북구,980.4233333333334
송파구,1170.9758333333334
양천구,1263.0081666666667
영등포구,1218.536
용산구,1534.738076923077
은평구,1068.5658333333333
종로구,1263.3845
중구,1336.0243333333335
중랑구,1037.6685
