자치구명,월세(만원)
강남구,133.1026018226924
강동구,68.39304242079464
강북구,46.76475218087502
강서구,58.044820972540755
관악구,47.10645624798782
광진구,62.00285171248703
구로구,54.317834082640296
금천구,47.06928534989606
노원구,58.80758521475771
도봉구,49.80734716451216
동대문구,62.05384242036735
동작구,68.89289671607968
마포구,76.6541386318927
서대문구,69.41306280814938
서초구,130.78553628848013
성동구,97.05582213205143
성북구,64.83757547784224
송파구,90.46268335618164
양천구,77.4748381956331
영등포구,69.8594780002649
용산구,93.66970885855974
은평구,55.48233722150059
종로구,73.68943106145699
중구,80.48717202688931
중랑구,48.18907559829661
